name,link
Fu Lu Chinese Restaurant,https://www.foodpanda.com.mm/restaurant/iko3/fu-lu-chinese-restaurant
The Burma Tea House,https://www.foodpanda.com.mm/restaurant/f2fn/the-burma-tea-house
Palace,https://www.foodpanda.com.mm/restaurant/z6bj/palace
AMT မာလာဒုတ်ထိုး,https://www.foodpanda.com.mm/restaurant/p9vz/amt-maalaadutt-thiu
မိဘမေတ္တာ Coffee and Tea House,https://www.foodpanda.com.mm/restaurant/cpim/mibhmettttaa-coffee-and-tea-house
The 13th Street,https://www.foodpanda.com.mm/restaurant/vhtw/the-13th-street
ကိုဆံရှည် ၁၇ လမ်းထိပ် ဝက်သားဒုတ်ထိုး,https://www.foodpanda.com.mm/restaurant/vawa/kiuchnr-nny-17-lm-thip-wk-saa-dutt-thiu
ဦးဗိုက်ပူ ကြေးအိုး နှင့်တရုတ်အစားအစာ,https://www.foodpanda.com.mm/restaurant/lxs7/uii-biuk-puu-k-e-aiu-n-ng-ttrutt-acaa-acaa
သစ္စာ,https://www.foodpanda.com.mm/restaurant/nsal/sccaa-nsal
Mae Sot Kitchen,https://www.foodpanda.com.mm/restaurant/t6gu/mae-sot-kitchen
Min Thar Gyi Cafe,https://www.foodpanda.com.mm/restaurant/ngjj/min-thar-gyi-cafe
Wutyee Food House,https://www.foodpanda.com.mm/restaurant/t1np/wutyee-food-house
Union Cloudkitchen,https://www.foodpanda.com.mm/restaurant/gqbt/union-cloudkitchen
ကိုးကဖေးဟောက်စ် (BBQ. COFFEE & DRINK),https://www.foodpanda.com.mm/restaurant/lt7r/kiu-kphe-heaak-c-bbq-coffee-and-drink
The Broadway Bistro,https://www.foodpanda.com.mm/restaurant/x8ou/the-broadway-bistro
ZAN' South Okkalapa Branch,https://www.foodpanda.com.mm/restaurant/l9dy/zan-south-okkalapa-branch
The Burma Kitchen,https://www.foodpanda.com.mm/restaurant/v2im/the-burma-kitchen
ပြည့်စုံ,https://www.foodpanda.com.mm/restaurant/neex/p-nny-cun
Kaung Pyae Sone (Kan Be),https://www.foodpanda.com.mm/restaurant/e0j6/kaung-pyae-sone-kan-be
The Slice,https://www.foodpanda.com.mm/restaurant/gq0p/the-slice
BAE,https://www.foodpanda.com.mm/restaurant/tf3x/bae
ပြည်မြို့သူ ( South Okkalapa ),https://www.foodpanda.com.mm/restaurant/ezyl/p-nny-m-iu-suu-south-okkalapa
Mandalay BBQ (Yangon),https://www.foodpanda.com.mm/restaurant/w2vz/mandalay-bbq-yangon
King's Crab,https://www.foodpanda.com.mm/chain/cv2vt/king-s-crab
Sumo Snack Shop,https://www.foodpanda.com.mm/restaurant/wjte/sumo-snack-shop
Kin Neko Bubble Tea (Yankin),https://www.foodpanda.com.mm/restaurant/ktkc/kin-neko-bubble-tea-yankin
Nature Fresh (Pandago),https://www.foodpanda.com.mm/restaurant/z6dw/nature-fresh-pandago
ရွှေညောင်ပင်(မြန်မာထမင်းနှင့်ဟင်း),https://www.foodpanda.com.mm/restaurant/fr4s/r-ennyeaang-png-m-n-maathmng-n-ng-hng
Yankin Heights Rooftop Restaurant,https://www.foodpanda.com.mm/restaurant/t4rz/yankin-heights-rooftop-restaurant
အန်တီမိုး,https://www.foodpanda.com.mm/restaurant/m4ju/an-ttiimiu
အေးမေတ္တာ,https://www.foodpanda.com.mm/restaurant/r9es/ae-mettttaa
လမင်းသာ- မြန်မာထမင်းဟင်းနှင့်အသုပ်စုံ,https://www.foodpanda.com.mm/restaurant/l9go/lmng-saa-m-n-maathmng-hng-n-ng-asup-cun
လက်ပံနီ (Foods & Tea House),https://www.foodpanda.com.mm/restaurant/l8ep/lk-pnnii-foods-and-tea-house
နွေဉီးလရောင်,https://www.foodpanda.com.mm/restaurant/dcah/n-enyii-lreaang
ရွှေကိန္နရီHome Madeစားသောက်ကုန်လုပ်ငန်း,https://www.foodpanda.com.mm/restaurant/r3jf/r-ekinnriihome-madecaa-seaak-kun-lup-ngn
Waffleboy,https://www.foodpanda.com.mm/restaurant/sarc/waffleboy
Two Plus Four,https://www.foodpanda.com.mm/restaurant/gemj/two-plus-four
ဆွေမင်း မာလာရှမ်းကော,https://www.foodpanda.com.mm/restaurant/qnql/ch-emng-maalaar-m-keaa
G- Hae'Koreans Food and Fried Chicken (Terminate),https://www.foodpanda.com.mm/restaurant/t5gl/g-haekoreans-food-and-fried-chicken-terminate
Wyne Veggie,https://www.foodpanda.com.mm/restaurant/w15j/wyne-veggie
MOEKAUNG (STREET BURGER),https://www.foodpanda.com.mm/restaurant/dc0e/moekaung-street-burger
Ya Thar Oao(မြန်မာထမင်းဟင်းနှင့်စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/a8vp/ya-thar-oao-m-n-maathmng-hng-n-ng-caa-ph-y-cun
Chef Asians & Thai Food,https://www.foodpanda.com.mm/restaurant/r5o5/chef-asians-and-thai-food
ဘရဏီ Food House,https://www.foodpanda.com.mm/restaurant/wshv/bhrnnii-food-house
ထိမိဂွိ မာလာရှမ်းကော,https://www.foodpanda.com.mm/restaurant/ne6l/thimig-i-maalaar-m-keaa
ရွှေရှမ်းလေး စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/e2nr/r-er-m-le-caa-ph-y-cun
My King,https://www.foodpanda.com.mm/restaurant/e6up/my-king
Memory Hot Pot,https://www.foodpanda.com.mm/restaurant/g6ok/memory-hot-pot
ကျော်ကောင်းကောင်း,https://www.foodpanda.com.mm/restaurant/t9nz/k-eaa-keaang-keaang
မမမေ (သစ်သီးယိုစုံ),https://www.foodpanda.com.mm/restaurant/ie4m/mmme-sc-sii-yiucun
Nature's House,https://www.foodpanda.com.mm/restaurant/mabd/natures-house
ဝတုတ်ကြက်သံပုံးကင်,https://www.foodpanda.com.mm/restaurant/bqax/wttutt-k-k-snpun-kng
ဥက္ကလာမြင့်,https://www.foodpanda.com.mm/restaurant/t0mn/ukklaam-ng
Mandalay Villa,https://www.foodpanda.com.mm/restaurant/s6le/mandalay-villa
EURASIA 93(KK Kitchen),https://www.foodpanda.com.mm/restaurant/adko/eurasia-93-kk-kitchen
စုလက်ရာ(ပန်းတောင်းထမင်းသုပ်),https://www.foodpanda.com.mm/restaurant/p5sm/culk-raa-pn-tteaang-thmng-sup
အလင်္ကာ,https://www.foodpanda.com.mm/restaurant/t0mi/alng-kaa
Kyaw San သစ္စာလမ်း ချစ်တီးဆိုင်,https://www.foodpanda.com.mm/restaurant/aivm/kyaw-san-sccaalm-kh-c-ttii-chiung
ခိုင် စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/sia1/khiung-caa-ph-y-cun-sia1
Hein Restaurant,https://www.foodpanda.com.mm/restaurant/w4kn/hein-restaurant
ရွှေရသာ (စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/jrlm/r-ersaa-caa-ph-y-cun
မခိုင်ကြီး(နံနက်ခင်းစားဖွယ်),https://www.foodpanda.com.mm/restaurant/mu7z/mkhiung-k-ii-nnnk-khng-caa-ph-y
Noodle Bowl (Yankin),https://www.foodpanda.com.mm/restaurant/d7mh/noodle-bowl-yankin
နဝရတ်မိုး,https://www.foodpanda.com.mm/restaurant/x8cv/nwrtt-miu
Yanking Eain,https://www.foodpanda.com.mm/restaurant/j2am/yanking-eain
Double K&T Food & Drink,https://www.foodpanda.com.mm/restaurant/texw/double-kandt-food-and-drink
ရွှေရန်ကုန်အဆင့်မြင့်လက်ဖက်ရည်နှင့်စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/ugiu/r-ern-kun-achng-m-ng-lk-phk-rnny-n-ng-caa-ph-y-cun
ကျောက်ဖြူ ရခိုင်မုန့်တီလက်ညှစ်နှင့် ပင်လယ်အစားအစာ,https://www.foodpanda.com.mm/restaurant/uymb/k-eaak-ph-uu-rkhiung-mun-ttiilk-nny-c-n-ng-png-ly-acaa-acaa
ဥက္ကာမင်း(Tea Center),https://www.foodpanda.com.mm/restaurant/i2uk/ukkaamng-tea-center
Angel's Kitchen,https://www.foodpanda.com.mm/restaurant/m1vs/angels-kitchen
Hello (Food & Drink),https://www.foodpanda.com.mm/restaurant/iwlc/hello-food-and-drink
သစ္စာရိပ်သာ(မာလာရှမ်းကော),https://www.foodpanda.com.mm/restaurant/x5o3/sccaarip-saa-maalaar-m-keaa
Aurora မာလာရှမ်းကော,https://www.foodpanda.com.mm/restaurant/l4op/aurora-maalaar-m-keaa
Burmese Tea (South Okkalapa),https://www.foodpanda.com.mm/restaurant/fyyp/burmese-tea-south-okkalapa
ဒါနကြွယ် မြန်မာထမင်းဟင်းနှင့် တရုတ်အစားအစာ,https://www.foodpanda.com.mm/restaurant/p6gj/d-nk-y-m-n-maathmng-hng-n-ng-ttrutt-acaa-acaa
Daw Cho ငရုတ်ကောင်းမုန့်ဟင်းခါး(ရန်ကင်း၊ ကန်ဘဲ့၊ သံလမ်းမှတ်တိုင်အနီး),https://www.foodpanda.com.mm/restaurant/dw9y/daw-cho-ngrutt-keaang-mun-hng-kh-rn-kng-kn-bhai-snlm-m-tt-ttiung-anii
Maggin -The Cake Corner,https://www.foodpanda.com.mm/restaurant/x3zi/maggin-the-cake-corner
Eat Right With Me (pandago),https://www.foodpanda.com.mm/restaurant/yd73/eat-right-with-me-pandago
Foodies,https://www.foodpanda.com.mm/restaurant/qdnr/foodies
မင်းကတော်(Min Gataw),https://www.foodpanda.com.mm/restaurant/z1ou/mng-ktteaa-min-gataw
Jerry T Bubble Tea Shop,https://www.foodpanda.com.mm/restaurant/mchg/jerry-t-bubble-tea-shop
Bubble Town (Innwa),https://www.foodpanda.com.mm/restaurant/iyov/bubble-town-innwa
Tar Yar Linn (Foods & Ice-Cream),https://www.foodpanda.com.mm/restaurant/i5ze/tar-yar-linn-foods-and-ice-cream
STACO,https://www.foodpanda.com.mm/restaurant/xooi/staco
ငယ်ငယ် နံနက်ခင်းမုန့်ဟင်းခါးအသုတ်စုံ,https://www.foodpanda.com.mm/restaurant/lqfz/ngy-ngy-nnnk-khng-mun-hng-kh-asutt-cun
Choppers,https://www.foodpanda.com.mm/restaurant/d3cv/choppers
Heart-Warming Creator,https://www.foodpanda.com.mm/restaurant/b3jv/heart-warming-creator
Ko Ko Ri,https://www.foodpanda.com.mm/restaurant/i0oi/ko-ko-ri
Pyae Hlyan Tea Shop,https://www.foodpanda.com.mm/restaurant/x3hr/pyae-hlyan-tea-shop
Cheers Bar & BBQ,https://www.foodpanda.com.mm/restaurant/t9pq/cheers-bar-bbq
Htoo's Myanmar Traditional,https://www.foodpanda.com.mm/restaurant/c12b/htoos-myanmar-traditional
ကြယ်တာရာ,https://www.foodpanda.com.mm/restaurant/eg6n/k-y-ttaaraa-eg6n
Emma Cake,https://www.foodpanda.com.mm/chain/cf1ed/emma-cake
ဦးရွှေရိုး,https://www.foodpanda.com.mm/restaurant/v5bq/uu-r-eriu
